,name,Title,comment,rating,ratin,,,,,,,,,,
0,sammyaklagade14 April 2022,The Finest Part 2 ever,"This will go down as the greatest Indian films ever, Storyline was more sublime than ever Grand performance from Yash, bit illogical fights but yes anything comes under fiction and if you're getting a story like this then nothing comes close KGF 2 - surely A MASTERPIECE.",10-Oct,10,,,,,,,,,,
1,sriramthestranger14 April 2022,Goosebumps overloaded!!,"The screenplay, cuts and sound effects deserves a standing ovation. There are illogical moments but that don't take away you, because the Director keeps you invested in the 'state of disbelief' and that is the success of this movie. There is hardly any sugarcoating to the criminal angle of Rocky, and it is more of a man with a promise to fulfill. Kudos to the entire cast and crew for a honest 'masala movie'!!",09-Oct,9,,,,,,,,,,
2,Prashast_Singh15 April 2022,Expectations surpassed!,"""Hindi viewers, please don't regret later on when it'll be playing on TV and internet."" This is what I mentioned in my review of KGF Chapter 1 after I watched it in cinemas. And today, as I witnessed the second chapter of this epic action saga in cinemas as well, I found myself blown away by the gripping plot, gorgeous visuals, stunning action sequences and most importantly, Yash's screen presence as Rocky. I can safely proceed to state that my expectations were not only met, but also surpassed by this fine sequel.",10-Oct,10,,,,,,,,,,
3,arjuncshekartheofficial14 April 2022,Paisa Vasool movie - KGF Chapter 2,Warning: Spoilers,10-Oct,10,,,,,,,,,,
4,rosheenkan14 April 2022,KGF 2 Box Office Tsunami Is Coming,"As expected, KGF 2 is getting positive response and sure there's a possibility a box office tsunami and set record.",10-Oct,10,,,,,,,,,,
5,arungeorge136 May 2022,"An improvement over the original in the technical aspects, but not the writing! [+53%]","K. G. F: Chapter 2 is a film that purely runs on technical finesse. There are impressively staged set-pieces, sophisticated production design, a pan-Indian (and possibly international) plot setup, and thumping background score. But the writing, something that didn't work for me in Chapter 1, is still very superficial. In Chapter 2, Rocky (Yash, with commanding screen presence) is no longer an underdog. He has already achieved legendary levels of notoriety with his deeds, even attracting the attention of the nation's Prime Minister. Prashanth Neel is great at crafting mass moments one after the other, in quick succession. The film, as a whole, is a carefully designed collection of mass moments - with frequent interludes of mother-son sentiment and a drab romance.",05-Oct,5,,,,,,,,,,
6,opotraining22 May 2022,Chapter 1 was way better,Warning: Spoilers,05-Oct,5,,,,,,,,,,
7,rahul00099415 April 2022,KGF - Chapter 2 is The Super-Duper Blockbuster Movie of 2022 !!!,Warning: Spoilers,10-Oct,10,,,,,,,,,,
8,mohantabiswa14 April 2022,Action Dhamakaaaa,Blockbuster movie.. Wellmade action sequences... Loved Rockybhaii style... Story okaish... Dialogue delivery outstanding... Bgm & songs rocking... Its a most watch movie...,10-Oct,10,,,,,,,,,,
9,skmenon199314 April 2022,KGF CHAPTER 2: VIOLENCE AT THE BOX OFFICE,KGF CHAPTER 2 : STORM AT THE BOX OFFICE....,10-Oct,10,,,,,,,,,,
10,DrRaj201214 April 2022,MASTERPIECE OF INDIAN CINEMA,Watched 7 am show.,10-Oct,10,,,,,,,,,,
11,PavanKV14 April 2022,KGF is KANNADA's GOLD FILM,"KFF part 2- Boisterous, loud and machismo type effect, taking Kannada movie to great heights.",09-Oct,9,,,,,,,,,,
12,nidhunmoviebuff14 April 2022,The perfect mass masala superstar vehicle!,"OMG. What did I just watch! KGF Chapter 2 is a blistering, adrenaline-pumping, high-stakes sequel to what was an era-defining part 1 that propelled not just Prashant Neel and superstar Yash but also the entire Kannada film industry, into national prominence. The team has clearly made the best use of the higher budget it received after the first film's success, keeping the emotional resonance from the original intact and building elaborate, well written and intelligently shot and edited mass elevation scenes that will keep you clamouring for more till the awe-inspiring climax.",08-Oct,8,,,,,,,,,,
